"","filecoverage","totalcoverage"
"R/ds.numNA.R",90.91,63.99
"R/ds.qlspline.R",84.62,63.99
"R/ds.quantileMean.R",94.29,63.99
"R/ds.ranksSecure.R",76.17,63.99
"R/ds.rbind.R",66.67,63.99
"R/ds.rBinom.R",67.27,63.99
"R/ds.recodeLevels.R",94.29,63.99
"R/ds.recodeValues.R",71.43,63.99
"R/ds.rep.R",68.64,63.99
"R/ds.replaceNA.R",81.48,63.99
"R/ds.reShape.R",69.35,63.99
"R/ds.rm.R",90,63.99
"R/ds.rNorm.R",66.04,63.99
"R/ds.rowColCalc.R",89.74,63.99
"R/ds.rPois.R",67,63.99
"R/ds.rUnif.R",65.71,63.99
"R/ds.sample.R",71.43,63.99
"R/ds.scatterPlot.R",0,63.99
"R/ds.seq.R",72.41,63.99
"R/ds.setDefaultOpals.R",0,63.99
"R/ds.setSeed.R",83.33,63.99
"R/ds.skewness.R",93.1,63.99
"R/ds.sqrt.R",73.33,63.99
"R/ds.subset.R",57.45,63.99
"R/ds.subsetByClass.R",93.94,63.99
"R/ds.summary.R",76.47,63.99
"R/ds.table.R",58.06,63.99
"R/ds.table1D.R",83.05,63.99
"R/ds.table2D.R",82.02,63.99
"R/ds.tapply.assign.R",72.06,63.99
"R/ds.tapply.R",87.5,63.99
"R/ds.testObjExists.R",66,63.99
"R/ds.unique.R",90.91,63.99
"R/ds.unList.R",69.81,63.99
"R/ds.var.R",98.15,63.99
"R/ds.vectorCalc.R",86.36,63.99
"R/extract.R",100,63.99
"R/getPooledMean.R",100,63.99
"R/getPooledVar.R",100,63.99
"R/glmChecks.R",47.62,63.99
"R/isAssigned.R",71.43,63.99
"R/isDefined.R",100,63.99
"R/logical2int.R",28.57,63.99
"R/meanByClassHelper0a.R",88.24,63.99
"R/meanByClassHelper0b.R",85.71,63.99
"R/meanByClassHelper1.R",84.62,63.99
"R/meanByClassHelper2.R",55.36,63.99
"R/meanByClassHelper3.R",76.92,63.99
"R/meanByClassHelper4.R",78.57,63.99
"R/rowPercent.R",100,63.99
"R/subsetHelper.R",77.78,63.99
